Name - gender, race/ethnicity, age, religion, political affiliation
1. Emma Henderson - Woman, White, 46, Protestant, Democrat
2. Carlos Rodriguez - Man, Latino, 29, Catholic, Independent
3. Antonio Ramirez - Man, Latino, 66, Catholic, Republican
4. Juan Rodriguez - Man, Latino, 38, Catholic, Democrat
5. Sarah Thompson - Woman, White, 65, Protestant, Republican
6. Michelle Brooks - Woman, White, 42, Protestant, Republican
7. Ana Rodriguez - Woman, Latino, 36, Unreligious, Democrat
8. Priya Patel - Woman, Asian, 41, Hindu, Independent
9. Emily Anderson - Woman, White, 39, Unreligious, Republican
10. Sierra Johnson - Woman, Black, 26, Protestant, Democrat
11. Malik Johnson - Man, Black, 26, Protestant, Democrat
12. Eleanor Thompson - Woman, White, 56, Protestant, Democrat
13. Maria Rodriguez - Woman, Latino, 63, Catholic, Democrat
14. Sabrina O'Connor - Woman, White, 30, Unreligious, Republican
15. Kwame Johnson - Man, Black, 23, Unreligious, Democrat
16. Anna Thompson - Woman, White, 35, Protestant, Republican
17. Makoa Nashoba - Man, Native American/Alaska Native, 29, Unreligious, Independent
18. Evelyn Anderson - Woman, White, 75, Protestant, Republican
19. Caroline Bennett - Woman, White, 64, Protestant, Democrat
20. Eleanor Harris - Woman, White, 70, Unreligious, Democrat
21. Emilia Summers - Woman, White, 34, Unreligious, Republican
22. John Whitaker - Man, White, 47, Protestant, Democrat
23. Jennifer Davis - Woman, White, 55, Protestant, Democrat
24. Gladys Newton - Woman, White, 68, Protestant, Independent
25. Elizabeth Thompson - Woman, White, 77, Protestant, Republican
26. Emily Williams - Woman, White, 35, Protestant, Independent
27. Jane Reynolds - Woman, White, 60, Unreligious, Republican
28. Ethan Reynolds - Man, White, 27, Protestant, Republican
29. Sophia Rodriguez - Woman, Latino, 22, Catholic, Democrat
30. John Stevens - Man, White, 40, Protestant, Independent
31. Sakura Tanaka - Woman, Asian, 67, Unreligious, Independent
32. Juan Ramirez - Man, Latino, 43, Catholic, Republican
33. Josephine Washington - Woman, Black, 60, Protestant, Democrat
34. Maya Johnson - Woman, Black, 76, Unreligious, Democrat
35. Angelo Hernandez - Man, Latino, 50, Catholic, Democrat
36. Michael Thompson - Man, White, 38, Protestant, Republican
37. Sofia Rodriguez - Woman, Latino, 26, Catholic, Republican
38. Nalini Patel - Woman, Asian, 54, Hindu, Independent
39. Emma Dawson - Woman, White, 60, Unreligious, Democrat
40. Margaret Walsh - Woman, White, 67, Catholic, Republican
41. George Wilkinson - Man, White, 63, Unreligious, Democrat
42. Jose Rodriguez - Man, Latino, 29, Catholic, Republican
43. John Smith - Man, White, 18, Protestant, Republican
44. Lucia Rodriguez - Woman, Latino, 50, Catholic, Democrat
45. Linda Turner - Woman, White, 48, Protestant, Republican
46. Joshua Washington - Man, Black, 46, Unreligious, Democrat
47. Carlton Archer - Man, Black, 58, Unreligious, Democrat
48. Isabella Rodriguez - Woman, Latino, 24, Catholic, Democrat
49. Carmen Rodriguez - Woman, Latino, 64, Unreligious, Democrat
50. James Thompson - Man, Black, 73, Protestant, Democrat
