0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Emily Johnson - Woman, 28, Black, Catholic, Liberal
2. Lucas Rodriguez - Man, 40, Latino, Catholic, Conservative
3. Sophia Lopez - Woman, 22, Latina, Catholic, Independent
4. Ethan Nguyen - Man, 19, Asian, Buddhist, Liberal
5. Isabella Kim - Woman, 31, Asian, Protestant, Moderate
6. Mohammed Ali - Man, 45, Middle Eastern, Muslim, Conservative
7. Emma Martinez - Woman, 33, Latino, Catholic, Liberal
8. Jacob Lee - Man, 25, Asian, Unreligious, Independent
9. Mia Thompson - Woman, 30, White, Buddhist, Liberal
10. Noah Johnson - Man, 27, Black, Protestant, Conservative
11. Olivia Davis - Woman, 23, White, Jewish, Liberal
12. Aiden Wilson - Man, 21, White, Protestant, Moderate
13. Ava Harris - Woman, 26, Black, Unreligious, Independent
14. Elijah Brown - Man, 34, Black, Protestant, Conservative
15. Sophia Jackson - Woman, 32, Latina, Catholic, Liberal
16. Alexander Anderson - Man, 38, White, Protestant, Conservative
17. Mia Thomas - Woman, 29, Asian, Buddhist, Liberal
18. James Johnson - Man, 65, Black, Protestant, Conservative
19. Olivia Martinez - Woman, 24, Latina, Catholic, Liberal
20. Ethan Kim - Man, 20, Asian, Unreligious, Independent
21. Emma Nguyen - Woman, 35, Asian, Buddhist, Moderate
22. Mohammed Ali - Man, 47, Middle Eastern, Muslim, Conservative
23. Ava Rodriguez - Woman, 27, Latino, Catholic, Liberal
24. Liam Smith - Man, 36, White, Protestant, Conservative
25. Isabella Johnson - Woman, 21, Black, Unreligious, Independent
26. Noah Garcia - Man, 31, Latino, Catholic, Liberal
27. Sophia Lee - Woman, 33, Asian, Protestant, Moderate
28. Lucas Brown - Man, 39, Black, Protestant, Conservative
29. Mia Davis - Woman, 25, White, Jewish, Liberal
30. Alexander Wilson - Man, 22, White, Protestant, Moderate
31. Olivia Harris - Woman, 26, Black, Unreligious, Independent
32. Elijah Rodriguez - Man, 35, Latino, Catholic, Moderate
33. Emma Kim - Woman, 28, Asian, Buddhist, Liberal
34. James Thomas - Man, 64, White, Protestant, Conservative
35. Sophia Thompson - Woman, 31, Black, Protestant, Liberal
36. Ethan Miller - Man, 23, White, Jewish, Liberal
37. Ava Anderson - Woman, 34, White, Unreligious, Independent
38. Noah Johnson - Man, 28, Black, Protestant, Conservative
39. Isabella Martinez - Woman, 22, Latina, Catholic, Liberal
40. Mia Nguyen - Woman, 36, Asian, Buddhist, Moderate
41. Alexander Ali - Man, 45, Middle Eastern, Muslim, Conservative
42. Emma Lopez - Woman, 33, Latino, Catholic, Liberal
43. Liam Smith - Man, 35, White, Protestant, Conservative
44. Olivia Davis - Woman, 23, White, Jewish, Liberal
45. Elijah Thompson - Man, 21, Black, Unreligious, Independent
46. Sophia Wilson - Woman, 26, White, Protestant, Moderate
47. Lucas Rodriguez - Man, 40, Latino, Catholic, Conservative
48. Ava Lee - Woman, 32, Asian, Buddhist, Liberal
49. Noah Anderson - Man, 39, White, Protestant, Conservative
50. Isabella Harris - Woman, 29, Black, Unreligious, Independent
51. Ethan Garcia - Man, 31, Latino, Catholic, Liberal
52. Mia Jackson - Woman, 25, Latina, Catholic, Liberal
53. Aiden Wilson - Man, 20, Asian, Unreligious, Independent
54. Emma Martinez - Woman, 35, Latino, Catholic, Liberal
55. Alexander Kim - Man, 22, Asian, Buddhist, Liberal
56. Olivia Johnson - Woman, 31, Black, Protestant, Liberal
57. Ava Smith - Woman, 27, White, Unreligious, Independent
58. Liam Brown - Man, 34, Black, Protestant, Conservative
59. Sophia Thomas - Woman, 28, White, Protestant, Moderate
60. Lucas Davis - Man, 40, White, Jewish, Conservative
61. Emily Harris - Woman, 33, Black, Unreligious, Independent
62. Mohammed Ali - Man, 47, Middle Eastern, Muslim, Conservative
63. Emma Lopez - Woman, 32, Latino, Catholic, Liberal
64. Jacob Smith - Man, 36, White, Protestant, Conservative
65. Isabella Jackson - Woman, 24, Black, Protestant, Liberal
66. Noah Anderson - Man, 25, White, Jewish, Liberal
