0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Sarah Johnson - Woman, 28, White, Catholic, Liberal
2. Muhammad Ahmed - Man, 42, Middle Eastern, Muslim, Conservative
3. Maria Lopez - Woman, 32, Latino, Catholic, Liberal
4. Michael Thompson - Man, 45, Black, Protestant, Moderate
5. Emily Chen - Woman, 20, Asian, Buddhist, Liberal
6. Daniel Rodriguez - Man, 39, Latino, Catholic, Conservative
7. Jessica Kim - Woman, 24, Asian, Protestant, Liberal
8. Ahmed Khan - Man, 33, Middle Eastern, Muslim, Conservative
9. Ashley Wilson - Woman, 31, White, Unreligious, Independent
10. James Jackson - Man, 50, Black, Protestant, Conservative
11. Olivia Rivera - Woman, 27, Latino, Catholic, Liberal
12. Thomas Nguyen - Man, 29, Asian, Buddhist, Conservative
13. Samantha Martinez - Woman, 36, Latino, Catholic, Moderate
14. Brandon Lee - Man, 21, Asian, Unreligious, Independent
15. Rachel Thompson - Woman, 40, Black, Protestant, Conservative
16. Juan Hernandez - Man, 43, Latino, Catholic, Conservative
17. Grace Kim - Woman, 23, Asian, Protestant, Liberal
18. Abdullah Ali - Man, 30, Middle Eastern, Muslim, Conservative
19. Megan Davis - Woman, 37, White, Protestant, Moderate
20. David Johnson - Man, 55, Black, Protestant, Conservative
21. Sofia Ramirez - Woman, 26, Latino, Catholic, Liberal
22. Jason Chen - Man, 22, Asian, Buddhist, Liberal
23. Aisha Khan - Woman, 35, Middle Eastern, Muslim, Conservative
24. Lauren Thompson - Woman, 33, White, Protestant, Moderate
25. Joshua Wilson - Man, 47, Black, Protestant, Conservative
26. Isabella Rodriguez - Woman, 30, Latino, Catholic, Liberal
27. Ethan Lee - Man, 19, Asian, Unreligious, Independent
28. Maria Davis - Woman, 39, White, Catholic, Moderate
29. Robert Johnson - Man, 60, Black, Protestant, Conservative
30. Sofia Gomez - Woman, 25, Latino, Catholic, Liberal
31. Ryan Nguyen - Man, 27, Asian, Buddhist, Conservative
32. Fatima Ali - Woman, 31, Middle Eastern, Muslim, Conservative
33. Emily Taylor - Woman, 29, White, Protestant, Moderate
34. Christopher Wilson - Man, 52, Black, Protestant, Conservative
35. Elena Hernandez - Woman, 28, Latino, Catholic, Liberal
36. Kevin Kim - Man, 24, Asian, Protestant, Liberal
37. Ali Khan - Man, 38, Middle Eastern, Muslim, Conservative
38. Jennifer Davis - Woman, 42, White, Unreligious, Independent
39. Matthew Thompson - Man, 49, Black, Protestant, Conservative
40. Gabriela Ramirez - Woman, 24, Latino, Catholic, Liberal
41. Justin Chen - Man, 26, Asian, Buddhist, Liberal
42. Ahmed Ahmed - Man, 44, Middle Eastern, Muslim, Conservative
43. Emily Wilson - Woman, 35, White, Protestant, Moderate
44. Christopher Johnson - Man, 53, Black, Protestant, Conservative
45. Maria Garcia - Woman, 30, Latino, Catholic, Liberal
46. Brian Lee - Man, 18, Asian, Unreligious, Independent
47. Sophia Smith - Woman, 38, White, Catholic, Moderate
48. Christopher Taylor - Man, 56, Black, Protestant, Conservative
49. Jasmine Hernandez - Woman, 27, Latino, Catholic, Liberal
50. Andrew Nguyen - Man, 28, Asian, Buddhist, Conservative
51. Omar Ali - Man, 40, Middle Eastern, Muslim, Conservative
52. Elizabeth Davis - Woman, 44, White, Protestant, Moderate
53. Benjamin Johnson - Man, 58, Black, Protestant, Conservative
54. Jessica Gonzalez - Woman, 26, Latino, Catholic, Liberal
55. Tyler Kim - Man, 30, Asian, Protestant, Liberal
56. Ali Ahmed - Man, 42, Middle Eastern, Muslim, Conservative
57. Kimberly Davis - Woman, 41, White, Unreligious, Independent
58. Christopher Smith - Man, 61, Black, Protestant, Conservative
59. Andrea Ramirez - Woman, 29, Latino, Catholic, Liberal
60. Jonathan Chen - Man, 23, Asian, Buddhist, Liberal
61. Ahmed Khan - Man, 46, Middle Eastern, Muslim, Conservative
62. Ashley Miller - Woman, 32, White, Protestant, Moderate
63. Timothy Jackson - Man, 51, Black, Protestant, Conservative
64. Sofia Hernandez - Woman, 25, Latino, Catholic, Liberal
65. Nicholas Lee - Man, 20, Asian, Unreligious, Independent
66. Stephanie Smith - Woman, 37, White, Protestant, Moderate
67. David Johnson - Man, 63, Black, Protestant, Conservative
68. Gabriela Gonzalez - Woman, 28, Latino, Catholic, Liberal
69. Christopher Kim - Man, 31, Asian, Buddhist, Liberal
70. Omar Ahmed - Man, 48, Middle Eastern, Muslim, Conservative
71. Jessica Brown - Woman, 45, White, Unreligious, Independent
72. Samuel Thompson - Man, 54, Black, Protestant, Conservative
73. Sofia Lopez - Woman, 24, Latino, Catholic, Liberal
74. Matthew Nguyen - Man, 26, Asian, Buddhist, Conservative
75. Aaliyah Ali - Woman, 33, Middle Eastern, Muslim, Conservative
76. Samantha Wilson - Woman, 34, White, Protestant, Moderate
77. Aaron Johnson - Man, 65, Black, Protestant, Conservative
78. Olivia Rodriguez - Woman, 31, Latino, Catholic, Liberal
79. Ryan Kim - Man, 21, Asian, Protestant, Liberal
80. Hamza Khan - Man, 39, Middle Eastern, Muslim, Conservative
81. Amanda Davis - Woman, 39, White, Unreligious, Independent
82. Christopher Thompson - Man, 56, Black, Protestant, Conservative
83. Natalie Hernandez - Woman, 23, Latino, Catholic, Liberal
84. Caleb Lee - Man, 19, Asian, Unreligious, Independent
85. Samantha Johnson - Woman, 36, White, Protestant, Moderate
86. Joshua Smith - Man, 47, Black, Protestant, Conservative
87. Emily Martinez - Woman, 29, Latino, Catholic, Liberal
88. Alex Chen - Man, 25, Asian, Buddhist, Liberal
89. Mohammad Ahmed - Man, 41, Middle Eastern, Muslim, Conservative
90. Megan Miller - Woman, 33, White, Protestant, Moderate
91. Christopher Johnson - Man, 57, Black, Protestant, Conservative
92. Andrea Gonzalez - Woman, 27, Latino, Catholic, Liberal
93. Justin Lee - Man, 22, Asian, Protestant, Liberal
94. Aisha Ahmed - Woman, 32, Middle Eastern, Muslim, Conservative
95. Laura Thompson - Woman, 38, White, Protestant, Moderate
96. Daniel Jackson - Man, 48, Black, Protestant, Conservative
97. Sofia Gomez - Woman, 26, Latino, Catholic, Liberal
98. Ethan Kim - Man, 20, Asian, Unreligious, Independent
99. Ashley Davis - Woman, 37, White, Protestant, Moderate
100. Benjamin Johnson - Man, 59, Black, Protestant, Conservative
101. Gabriela Ramirez - Woman, 25, Latino, Catholic, Liberal
102. Christopher Nguyen - Man, 24, Asian, Buddhist, Liberal
103. Omar Ali - Man, 43, Middle Eastern, Muslim, Conservative
104. Jennifer Davis - Woman, 43, White, Unreligious, Independent
105. Samuel Johnson - Man, 62, Black, Protestant, Conservative
106. Maria Hernandez - Woman, 28, Latino, Catholic, Liberal
107. Jonathan Chen - Man, 23, Asian, Buddhist, Liberal
108. Ahmed Khan - Man, 45, Middle Eastern, Muslim, Conservative
109. Jessica Miller - Woman, 31, White, Protestant, Moderate
110. Joshua Thompson - Man, 50, Black, Protestant, Conservative
111. Olivia Rodriguez - Woman, 30, Latino, Catholic, Liberal
112. Michael Kim - Man, 27, Asian, Buddhist, Liberal
113. Ali Ahmed - Man, 41, Middle Eastern, Muslim, Conservative
114. Sarah Davis - Woman, 40, White, Unreligious, Independent
115. Christopher Smith - Man, 60, Black, Protestant, Conservative
116. Sofia Ramirez - Woman, 25, Latino, Catholic, Liberal
117. Andrew Nguyen - Man, 29, Asian, Buddhist, Conservative
118. Aaliyah Ali - Woman, 34, Middle Eastern, Muslim, Conservative
119. Emily Wilson - Woman, 35, White, Protestant, Moderate
120. Benjamin Johnson - Man, 58, Black, Protestant, Conservative
121. Jasmine Hernandez - Woman, 27, Latino, Catholic, Liberal
122. Tyler Kim - Man, 30, Asian, Protestant, Liberal
123. Ahmed Ahmed - Man, 44, Middle Eastern, Muslim, Conservative
124. Emily Thompson - Woman, 36, White, Protestant, Moderate
125. Christopher Johnson - Man, 53, Black, Protestant, Conservative
126. Maria Garcia - Woman, 30, Latino, Catholic, Liberal
127. Brian Lee - Man, 18, Asian, Unreligious, Independent
128. Sophia Smith - Woman, 38, White, Catholic, Moderate
129. Christopher Taylor - Man, 56, Black, Protestant, Conservative
130. Jasmine Hernandez - Woman, 27, Latino, Catholic, Liberal
131. Andrew Nguyen - Man, 28, Asian, Buddhist, Conservative
132. Omar Ali - Man, 40, Middle Eastern, Muslim, Conservative
133. Elizabeth Davis - Woman, 44, White, Protestant, Moderate
134. Benjamin Johnson - Man, 58, Black, Protestant, Conservative
135. Jessica Gonzalez - Woman, 26, Latino, Catholic, Liberal
136. Tyler Kim - Man, 30, Asian, Protestant, Liberal
137. Ali Ahmed - Man, 42, Middle Eastern, Muslim, Conservative
138. Kimberly Davis - Woman, 41, White, Unreligious, Independent
139. Christopher Smith - Man, 61, Black, Protestant, Conservative
140. Andrea Ramirez - Woman, 29, Latino, Catholic, Liberal
141. Jonathan Chen - Man, 23, Asian, Buddhist, Liberal
142. Ahmed Khan - Man, 46, Middle Eastern, Muslim, Conservative
143. Ashley Miller - Woman, 32, White, Protestant, Moderate
144. Timothy Jackson - Man, 51, Black, Protestant, Conservative
145. Sofia Hernandez - Woman, 25, Latino, Catholic, Liberal
146. Nicholas Lee - Man, 20, Asian, Unreligious, Independent
147. Stephanie Smith - Woman, 37, White, Protestant, Moderate
148. David Johnson - Man, 63, Black, Protestant, Conservative
149. Gabriela Gonzalez - Woman, 28, Latino, Catholic, Liberal
150. Christopher Kim - Man, 31, Asian, Buddhist, Liberal
151. Omar Ahmed - Man, 48, Middle Eastern, Muslim, Conservative
152. Jessica Brown - Woman, 45, White, Unreligious, Independent
153. Samuel Thompson - Man, 54, Black, Protestant, Conservative
154. Sofia Lopez - Woman, 24, Latino, Catholic, Liberal
155. Matthew Nguyen - Man, 26, Asian, Buddhist, Conservative
156. Aaliyah Ali - Woman, 33, Middle Eastern, Muslim, Conservative
157. Samantha Wilson - Woman, 34, White, Protestant, Moderate
158. Aaron Johnson - Man, 65, Black, Protestant, Conservative
159. Olivia Rodriguez - Woman, 31, Latino, Catholic, Liberal
160. Ryan Kim - Man, 21, Asian, Protestant, Liberal
161. Hamza Khan - Man, 39, Middle Eastern, Muslim, Conservative
162. Amanda Davis - Woman, 39, White, Unreligious, Independent
163. Christopher Thompson - Man, 56, Black, Protestant, Conservative
164. Natalie Hernandez - Woman, 23, Latino, Catholic, Liberal
165. Caleb Lee - Man, 19, Asian, Unreligious, Independent
166. Samantha Johnson - Woman, 36, White, Protestant, Moderate
167. Joshua Smith - Man, 47, Black, Protestant, Conservative
168. Emily Martinez - Woman, 29, Latino, Catholic, Liberal
169. Alex Chen - Man, 25, Asian, Buddhist, Liberal
170. Mohammad Ahmed - Man, 41, Middle Eastern, Muslim, Conservative
171. Megan Miller - Woman, 33, White, Protestant, Moderate
172. Christopher Johnson - Man, 57, Black, Protestant, Conservative
173. Andrea Gonzalez - Woman, 27, Latino, Catholic, Liberal
174. Justin Lee - Man, 22, Asian, Protestant, Liberal
175. Aisha Ahmed - Woman, 32, Middle Eastern, Muslim, Conservative
176. Laura Thompson - Woman, 38, White, Protestant, Moderate
177. Daniel Jackson - Man, 48, Black, Protestant, Conservative
178. Sofia Gomez - Woman, 26, Latino, Catholic, Liberal
179. Ethan Kim - Man, 20, Asian, Unreligious, Independent
180. Ashley Davis - Woman, 37, White, Protestant, Moderate
181. Benjamin Johnson - Man, 59, Black, Protestant, Conservative
182. Gabriela Ramirez - Woman, 25, Latino, Catholic, Liberal
183. Christopher Nguyen - Man, 24, Asian, Buddhist, Liberal
184. Omar Ali - Man, 43, Middle Eastern, Muslim, Conservative
185. Jennifer Davis - Woman, 43, White, Unreligious, Independent
186. Samuel Johnson - Man, 62, Black, Protestant, Conservative
187. Maria Hernandez - Woman, 28, Latino, Catholic, Liberal
188. Jonathan Chen - Man, 23, Asian, Buddhist, Liberal
189. Ahmed Khan - Man, 45, Middle Eastern, Muslim, Conservative
190. Jessica Miller - Woman, 31, White, Protestant, Moderate
191. Joshua Thompson - Man, 50, Black, Protestant, Conservative
192. Olivia Rodriguez - Woman, 30, Latino, Catholic, Liberal
193. Michael Kim - Man, 27, Asian, Buddhist, Liberal
194. Ali Ahmed - Man, 41, Middle Eastern, Muslim, Conservative
195. Sarah Davis - Woman, 40, White, Unreligious, Independent
196. Christopher Smith - Man, 60, Black, Protestant, Conservative
197. Sofia Ramirez - Woman, 25, Latino, Catholic, Liberal
198. Andrew Nguyen - Man, 29, Asian, Buddhist, Conservative
199. Aaliyah Ali - Woman, 34, Middle Eastern, Muslim, Conservative
200. Emily Wilson - Woman, 35, White, Protestant, Moderate
