0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Sarah Johnson - Woman, 28, White, Catholic, Liberal
2. Muhammad Ali - Man, 40, Middle Eastern, Muslim, Conservative
3. Maria Rodriguez - Woman, 32, Latina, Catholic, Moderate
4. David Lee - Man, 45, Asian, Buddhist, Independent
5. Emily Williams - Woman, 23, White, Unreligious, Liberal
6. Michael Davis - Man, 50, Black, Protestant, Conservative
7. Olivia Martinez - Woman, 19, Latina, Catholic, Liberal
8. Benjamin Nguyen - Man, 33, Asian, Unreligious, Independent
9. Sophia Thompson - Woman, 27, White, Jewish, Liberal
10. Ryan Kim - Man, 31, Asian, Protestant, Moderate
11. Emma Brown - Woman, 26, White, Unreligious, Liberal
12. Mohammed Ahmed - Man, 38, Middle Eastern, Muslim, Conservative
13. Isabella Garcia - Woman, 24, Latina, Catholic, Liberal
14. Daniel Johnson - Man, 43, White, Protestant, Conservative
15. Mia Wang - Woman, 35, Asian, Buddhist, Independent
16. Jacob Miller - Man, 30, White, Unreligious, Moderate
17. Ava Wilson - Woman, 21, White, Catholic, Liberal
18. William Davis - Man, 55, Black, Protestant, Conservative
19. Gabriela Lopez - Woman, 29, Latina, Catholic, Liberal
20. Ethan Kim - Man, 48, Asian, Unreligious, Independent
21. Charlotte Anderson - Woman, 33, White, Jewish, Liberal
22. Alexander Thomas - Man, 34, White, Protestant, Moderate
23. Mia Rodriguez - Woman, 22, Latina, Catholic, Liberal
24. James Smith - Man, 60, Black, Protestant, Conservative
25. Sofia Nguyen - Woman, 25, Asian, Buddhist, Independent
26. Benjamin Thompson - Man, 46, White, Unreligious, Moderate
27. Isabella Brown - Woman, 20, White, Catholic, Liberal
28. Joseph Ahmed - Man, 37, Middle Eastern, Muslim, Conservative
29. Emily Martinez - Woman, 28, Latina, Catholic, Liberal
30. Joshua Johnson - Man, 42, White, Protestant, Conservative
31. Mia Kim - Woman, 34, Asian, Buddhist, Independent
32. Daniel Miller - Man, 29, White, Unreligious, Moderate
33. Ava Davis - Woman, 24, Black, Protestant, Conservative
34. Olivia Lopez - Woman, 26, Latina, Catholic, Liberal
35. Benjamin Kim - Man, 32, Asian, Unreligious, Independent
36. Sophia Anderson - Woman, 31, White, Jewish, Liberal
37. Alexander Smith - Man, 40, White, Protestant, Moderate
38. Gabriela Rodriguez - Woman, 23, Latina, Catholic, Liberal
39. James Miller - Man, 63, Black, Protestant, Conservative
40. Sofia Wang - Woman, 29, Asian, Buddhist, Independent
41. Matthew Thompson - Man, 44, White, Unreligious, Moderate
42. Mia Anderson - Woman, 19, White, Catholic, Liberal
43. Joseph Ali - Man, 39, Middle Eastern, Muslim, Conservative
44. Emily Johnson - Woman, 27, Latina, Catholic, Liberal
45. Jacob Davis - Man, 33, White, Protestant, Conservative
46. Olivia Kim - Woman, 35, Asian, Buddhist, Independent
47. Alexander Miller - Man, 28, White, Unreligious, Moderate
48. Sophia Davis - Woman, 23, Black, Protestant, Conservative
49. Isabella Lopez - Woman, 24, Latina, Catholic, Liberal
50. Benjamin Johnson - Man, 36, Asian, Unreligious, Independent
51. Ava Thompson - Woman, 30, White, Jewish, Liberal
52. Michael Smith - Man, 54, White, Protestant, Moderate
53. Sofia Rodriguez - Woman, 22, Latina, Catholic, Liberal
54. William Miller - Man, 67, Black, Protestant, Conservative
55. Emma Wang - Woman, 31, Asian, Buddhist, Independent
56. David Thompson - Man, 39, White, Unreligious, Moderate
57. Mia Smith - Woman, 25, White, Catholic, Liberal
58. Matthew Ahmed - Man, 41, Middle Eastern, Muslim, Conservative
59. Emily Lopez - Woman, 26, Latina, Catholic, Liberal
60. Joshua Davis - Man, 32, White, Protestant, Conservative
61. Sofia Kim - Woman, 34, Asian, Buddhist, Independent
