0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Emily Jones - Woman, 27, White, Catholic, Liberal
2. Mohammed Ahmed - Man, 45, Middle Eastern, Muslim, Conservative
3. Maria Lopez - Woman, 33, Latina, Catholic, Moderate
4. David Lee - Man, 50, Asian, Buddhist, Independent
5. Sarah Thompson - Woman, 23, White, Protestant, Liberal
6. Jamal Jackson - Man, 32, Black, Muslim, Liberal
7. Samantha Garcia - Woman, 40, Latina, Catholic, Moderate
8. Michael Chen - Man, 29, Asian, Buddhist, Independent
9. Jennifer Rodriguez - Woman, 35, Latina, Catholic, Liberal
10. Ahmed Hassan - Man, 55, Middle Eastern, Muslim, Conservative
11. Sarah Miller - Woman, 45, White, Protestant, Moderate
12. Juan Martinez - Man, 31, Latino, Catholic, Liberal
13. Chloe Kim - Woman, 29, Asian, Buddhist, Independent
14. Aisha Khan - Woman, 30, Middle Eastern, Muslim, Liberal
15. Robert Johnson - Man, 42, Black, Protestant, Conservative
16. Sofia Garcia - Woman, 38, Latina, Catholic, Moderate
17. Wei Chen - Man, 34, Asian, Buddhist, Independent
18. Gabriela Ramirez - Woman, 25, Latina, Catholic, Liberal
19. Youssef Ali - Man, 48, Middle Eastern, Muslim, Conservative
20. Emma Davis - Woman, 31, White, Protestant, Moderate
21. Malik Jackson - Man, 28, Black, Muslim, Liberal
22. Isabella Torres - Woman, 37, Latina, Catholic, Moderate
23. Hiroshi Tanaka - Man, 41, Asian, Buddhist, Independent
24. Olivia Wilson - Woman, 26, White, Protestant, Liberal
25. James Thompson - Man, 33, White, Protestant, Conservative
26. Carlos Rodriguez - Man, 44, Latino, Catholic, Moderate
27. Maya Patel - Woman, 32, Asian, Hindu, Liberal
28. Mohamed Ahmed - Man, 53, Middle Eastern, Muslim, Conservative
29. Lily Johnson - Woman, 30, White, Protestant, Moderate
30. Jamal White - Man, 29, Black, Muslim, Liberal
31. Camila Hernandez - Woman, 39, Latina, Catholic, Moderate
32. Hiroshi Suzuki - Man, 36, Asian, Buddhist, Independent
33. Sophia Davis - Woman, 28, White, Protestant, Liberal
34. Matthew Thomas - Man, 47, Black, Protestant, Conservative
35. Laura Ramirez - Woman, 33, Latina, Catholic, Moderate
