0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Emily Johnson - Woman, 27, Black, Unreligious, Liberal
2. Mohammed Ahmed - Man, 45, Middle Eastern, Muslim, Conservative
3. Sophia Rodriguez - Woman, 32, Latina, Catholic, Liberal
4. Andrew Wong - Man, 50, Asian, Buddhist, Independent
5. Emma Davis - Woman, 41, White, Protestant, Conservative
6. Carlos Ramirez - Man, 28, Latino, Catholic, Liberal
7. Olivia Lee - Woman, 20, Asian, Unreligious, Moderate
8. Michael Thompson - Man, 38, Black, Protestant, Conservative
9. Ava Patel - Woman, 23, Asian, Hindu, Liberal
10. Christopher Lewis - Man, 33, White, Catholic, Conservative
11. Mia Nguyen - Woman, 29, Asian, Buddhist, Independent
12. David Wilson - Man, 55, Black, Protestant, Conservative
13. Isabella Rivera - Woman, 24, Latina, Catholic, Liberal
14. William Chen - Man, 43, Asian, Unreligious, Moderate
15. Sophia Jones - Woman, 35, White, Jewish, Liberal
16. James Davis - Man, 32, Black, Protestant, Conservative
17. Olivia Martinez - Woman, 26, Latina, Catholic, Liberal
18. Benjamin Kim - Man, 40, Asian, Unreligious, Moderate
19. Emma Thomas - Woman, 45, White, Protestant, Conservative
20. Samuel Ramirez - Man, 37, Latino, Catholic, Liberal
21. Ava Hernandez - Woman, 31, Latina, Catholic, Liberal
22. Joseph Nguyen - Man, 28, Asian, Buddhist, Independent
23. Mia Carter - Woman, 33, Black, Protestant, Conservative
24. Daniel Johnson - Man, 48, White, Protestant, Conservative
25. Sophia Davis - Woman, 30, Black, Protestant, Liberal
26. Jacob Smith - Man, 25, White, Unreligious, Moderate
27. Emily Thompson - Woman, 41, White, Catholic, Conservative
28. Ethan Rodriguez - Man, 40, Latino, Catholic, Conservative
29. Mia Lee - Woman, 27, Asian, Buddhist, Liberal
30. Michael Wilson - Man, 35, Black, Protestant, Moderate
31. Olivia Thomas - Woman, 22, White, Unreligious, Liberal
32. Alexander Martinez - Man, 39, Latino, Catholic, Conservative
33. Ava Johnson - Woman, 29, Black, Protestant, Liberal
34. Daniel Brown - Man, 45, White, Protestant, Conservative
35. Isabella Davis - Woman, 34, White, Jewish, Liberal
36. William Anderson - Man, 30, White, Catholic, Conservative
37. Sophia Hernandez - Woman, 25, Latina, Catholic, Liberal
38. Joseph Kim - Man, 36, Asian, Buddhist, Independent
39. Mia Clark - Woman, 38, Black, Protestant, Liberal
40. Samuel Thompson - Man, 47, Black, Protestant, Conservative
41. Emma Rodriguez - Woman, 28, Latina, Catholic, Liberal
42. Benjamin Lee - Man, 33, Asian, Unreligious, Moderate
43. Olivia Wilson - Woman, 44, White, Protestant, Conservative
44. Alexander Ramirez - Man, 41, Latino, Catholic, Moderate
45. Ava Martinez - Woman, 26, Latina, Catholic, Liberal
46. Samuel Johnson - Man, 39, White, Protestant, Conservative
47. Emily Davis - Woman, 31, Black, Unreligious, Liberal
48. Michael Nguyen - Man, 37, Asian, Buddhist, Independent
49. Sophia Clark - Woman, 43, White, Protestant, Liberal
50. Daniel Smith - Man, 50, White, Catholic, Conservative
51. Isabella Williams - Woman, 29, Black, Unreligious, Liberal
52. Ethan Hernandez - Man, 35, Latino, Catholic, Conservative
53. Mia Anderson - Woman, 26, White, Protestant, Liberal
54. Joseph Thompson - Man, 42, Black, Protestant, Moderate
55. Emma Taylor - Woman, 37, White, Protestant, Conservative
56. William Martinez - Man, 48, Latino, Catholic, Conservative
57. Olivia Davis - Woman, 30, Black, Protestant, Liberal
58. Alexander Wilson - Man, 33, White, Jewish, Moderate
59. Emily Johnson - Woman, 45, White, Protestant, Conservative
60. Samuel Rodriguez - Man, 39, Latino, Catholic, Liberal
61. Ava Hernandez - Woman, 28, Latina, Catholic, Liberal
62. Joseph Nguyen - Man, 37, Asian, Buddhist, Independent
63. Mia Carter - Woman, 31, Black, Protestant, Conservative
64. Daniel Johnson - Man, 50, White, Protestant, Conservative
65. Sophia Davis - Woman, 30, Black, Protestant, Liberal
66. Jacob Smith - Man, 25, White, Unreligious, Moderate
67. Emily Thompson - Woman, 41, White, Catholic, Conservative
68. Ethan Rodriguez - Man, 40, Latino, Catholic, Conservative
69. Mia Lee - Woman, 27, Asian, Buddhist, Liberal
70. Michael Wilson - Man, 35, Black, Protestant, Moderate
71. Olivia Thomas - Woman, 22, White, Unreligious, Liberal
72. Alexander Martinez - Man, 39, Latino, Catholic, Conservative
73. Ava Johnson - Woman, 29, Black, Protestant, Liberal
74. Daniel Brown - Man, 45, White, Protestant, Conservative
75. Isabella Davis - Woman, 34, White, Jewish, Liberal
76. William Anderson - Man, 30, White, Catholic, Conservative
77. Sophia Hernandez - Woman, 25, Latina, Catholic, Liberal
78. Joseph Kim - Man, 36, Asian, Buddhist, Independent
79. Mia Clark - Woman, 38, Black, Protestant, Liberal
80. Samuel Thompson - Man, 47, Black, Protestant, Conservative
81. Emma Rodriguez - Woman, 28, Latina, Catholic, Liberal
82. Benjamin Lee - Man, 33, Asian, Unreligious, Moderate
83. Olivia Wilson - Woman, 44, White, Protestant, Conservative
84. Alexander Ramirez - Man, 41, Latino, Catholic, Moderate
85. Ava Martinez - Woman, 26, Latina, Catholic, Liberal
86. Samuel Johnson - Man, 39, White, Protestant, Conservative
87. Emily Davis - Woman, 31, Black, Unreligious, Liberal
88. Michael Nguyen - Man, 37, Asian, Buddhist, Independent
89. Sophia Clark - Woman, 43, White, Protestant, Liberal
90. Daniel Smith - Man, 50, White, Catholic, Conservative
91. Isabella Williams - Woman, 29, Black, Unreligious, Liberal
