0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Emily Johnson - Woman, 28, White, Catholic, Liberal
2. Ahmed Khan - Man, 45, Middle Eastern, Muslim, Conservative
3. Maria Rodriguez - Woman, 40, Latina, Catholic, Moderate
4. David Lee - Man, 32, Asian, Buddhist, Independent
5. Sarah Thompson - Woman, 50, White, Protestant, Conservative
6. Jamal Williams - Man, 25, Black, Unreligious, Liberal
7. Ana Lopez - Woman, 33, Latina, Catholic, Moderate
8. Michael Chen - Man, 40, Asian, Buddhist, Independent
9. Jessica Martinez - Woman, 22, Latina, Catholic, Liberal
10. Mohammed Ali - Man, 55, Middle Eastern, Muslim, Conservative
11. Amanda Lewis - Woman, 30, Black, Protestant, Liberal
12. Carlos Hernandez - Man, 38, Latino, Catholic, Moderate
13. William Johnson - Man, 45, White, Protestant, Conservative
14. Stephanie Nguyen - Woman, 27, Asian, Buddhist, Independent
15. Ahmed Hassan - Man, 29, Middle Eastern, Muslim, Liberal
16. Melissa Brown - Woman, 35, Black, Unreligious, Moderate
17. Juan Garcia - Man, 20, Latino, Catholic, Liberal
18. Sarah Adams - Woman, 42, White, Protestant, Conservative
19. Aisha Ali - Woman, 23, Middle Eastern, Muslim, Liberal
20. Christopher Thomas - Man, 60, White, Protestant, Conservative
21. Jennifer Lee - Woman, 25, Asian, Buddhist, Independent
22. Alex Johnson - Nonbinary, 33, White, Unreligious, Moderate
23. Angela Davis - Woman, 48, Black, Protestant, Liberal
24. Luis Lopez - Man, 36, Latino, Catholic, Conservative
25. Samantha Scott - Woman, 31, White, Unreligious, Liberal
26. Abdul Rahman - Man, 50, Middle Eastern, Muslim, Conservative
27. Olivia Martinez - Woman, 29, Latina, Catholic, Moderate
28. Daniel Wilson - Man, 41, White, Protestant, Conservative
29. Michelle Nguyen - Woman, 24, Asian, Buddhist, Independent
30. Jamal Khan - Man, 32, Middle Eastern, Muslim, Liberal
31. Jessica Thompson - Woman, 39, White, Protestant, Liberal
32. Carlos Rodriguez - Man, 43, Latino, Catholic, Conservative
33. Ashley Davis - Woman, 27, Black, Unreligious, Moderate
34. Juan Martinez - Man, 21, Latino, Catholic, Liberal
35. Erica Adams - Woman, 44, White, Protestant, Conservative
