0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Sarah Johnson - Woman, 42, White, Catholic, Liberal
2. David Martinez - Man, 28, Latino, Catholic, Conservative
3. Emily Lee - Woman, 23, Asian, Buddhist, Liberal
4. Michael Thompson - Man, 50, Black, Protestant, Moderate
5. Samantha Rodriguez - Woman, 32, Latina, Catholic, Liberal
6. Daniel Kim - Man, 31, Asian, Protestant, Conservative
7. Ashley Jackson - Woman, 27, Black, Unreligious, Independent
8. Christopher Chen - Man, 45, Asian, Buddhist, Moderate
9. Jessica Brown - Woman, 38, White, Protestant, Conservative
10. Mohammed Ahmed - Man, 47, Middle Eastern, Muslim, Liberal
11. Olivia Nguyen - Woman, 25, Asian, Buddhist, Liberal
12. William Davis - Man, 33, White, Unreligious, Independent
13. Isabella Lopez - Woman, 22, Latina, Catholic, Liberal
14. Jacob Patel - Man, 29, Asian, Hindu, Conservative
15. Sophia Thompson - Woman, 40, Black, Protestant, Moderate
16. Ethan Garcia - Man, 24, Latino, Catholic, Liberal
17. Mia Kim - Woman, 30, Asian, Buddhist, Liberal
18. Alexander Jackson - Man, 48, Black, Unreligious, Independent
19. Ava Chen - Woman, 37, Asian, Buddhist, Conservative
20. Matthew Thomas - Man, 43, White, Protestant, Moderate
21. Emily Wright - Woman, 26, White, Protestant, Liberal
22. James Lewis - Man, 39, Black, Protestant, Moderate
23. Emma Walker - Woman, 41, White, Catholic, Conservative
24. Benjamin Davis - Man, 34, White, Unreligious, Independent
25. Olivia Martinez - Woman, 29, Latina, Catholic, Liberal
26. Elijah Johnson - Man, 44, Black, Protestant, Moderate
27. Sophia Nguyen - Woman, 21, Asian, Buddhist, Liberal
28. Ethan Brown - Man, 32, White, Protestant, Conservative
29. Mia Harris - Woman, 36, Black, Protestant, Moderate
30. Alexander Rodriguez - Man, 26, Latino, Catholic, Liberal
31. Emily Kim - Woman, 39, Asian, Buddhist, Liberal
32. Jacob Smith - Man, 49, White, Protestant, Conservative
33. Isabella Lee - Woman, 23, Asian, Buddhist, Liberal
34. Christopher Johnson - Man, 35, Black, Protestant, Moderate
35. Sophia Davis - Woman, 43, White, Unreligious, Independent
36. Matthew Thompson - Man, 28, Black, Protestant, Moderate
37. Ava Miller - Woman, 40, White, Catholic, Conservative
38. Alexander Hernandez - Man, 47, Latino, Catholic, Conservative
39. Mia Patel - Woman, 25, Asian, Hindu, Liberal
40. James Martin - Man, 42, White, Protestant, Moderate
41. Emma Wilson - Woman, 30, White, Protestant, Liberal
42. Elijah Lewis - Man, 44, Black, Protestant, Moderate
43. Emily Adams - Woman, 37, White, Catholic, Conservative
44. Daniel Harris - Man, 33, Black, Unreligious, Independent
45. Ava Lopez - Woman, 29, Latina, Catholic, Liberal
46. Ethan Kim - Man, 24, Asian, Buddhist, Liberal
47. Mia Johnson - Woman, 39, Black, Protestant, Moderate
48. Alexander Nguyen - Man, 26, Asian, Buddhist, Liberal
49. Olivia Davis - Woman, 21, White, Protestant, Liberal
50. Jacob Thompson - Man, 49, White, Protestant, Conservative
51. Sophia Wright - Woman, 26, White, Protestant, Liberal
52. William Lewis - Man, 39, Black, Protestant, Moderate
53. Emma Walker - Woman, 41, White, Catholic, Conservative
54. Benjamin Davis - Man, 34, White, Unreligious, Independent
55. Olivia Martinez - Woman, 29, Latina, Catholic, Liberal
56. Elijah Johnson - Man, 44, Black, Protestant, Moderate
57. Sophia Nguyen - Woman, 21, Asian, Buddhist, Liberal
58. Ethan Brown - Man, 32, White, Protestant, Conservative
59. Mia Harris - Woman, 36, Black, Protestant, Moderate
60. Alexander Rodriguez - Man, 26, Latino, Catholic, Liberal
61. Emily Kim - Woman, 39, Asian, Buddhist, Liberal
62. Jacob Smith - Man, 49, White, Protestant, Conservative
63. Isabella Lee - Woman, 23, Asian, Buddhist, Liberal
64. Christopher Johnson - Man, 35, Black, Protestant, Moderate
65. Sophia Davis - Woman, 43, White, Unreligious, Independent
66. Matthew Thompson - Man, 28, Black, Protestant, Moderate
67. Ava Miller - Woman, 40, White, Catholic, Conservative
68. Alexander Hernandez - Man, 47, Latino, Catholic, Conservative
69. Mia Patel - Woman, 25, Asian, Hindu, Liberal
70. James Martin - Man, 42, White, Protestant, Moderate
71. Emma Wilson - Woman, 30, White, Protestant, Liberal
72. Elijah Lewis - Man, 44, Black, Protestant, Moderate
73. Emily Adams - Woman, 37, White, Catholic, Conservative
74. Daniel Harris - Man, 33, Black, Unreligious, Independent
75. Ava Lopez - Woman, 29, Latina, Catholic, Liberal
76. Ethan Kim - Man, 24, Asian, Buddhist, Liberal
77. Mia Johnson - Woman, 39, Black, Protestant, Moderate
78. Alexander Nguyen - Man, 26, Asian, Buddhist, Liberal
79. Olivia Davis - Woman, 21, White, Protestant, Liberal
80. Jacob Thompson - Man, 49, White, Protestant, Conservative
81. Sophia Wright - Woman, 26, White, Protestant, Liberal
82. William Lewis - Man, 39, Black, Protestant, Moderate
83. Emma Walker - Woman, 41, White, Catholic, Conservative
84. Benjamin Davis - Man, 34, White, Unreligious, Independent
85. Olivia Martinez - Woman, 29, Latina, Catholic, Liberal
86. Elijah Johnson - Man, 44, Black, Protestant, Moderate
87. Sophia Nguyen - Woman, 21, Asian, Buddhist, Liberal
88. Ethan Brown - Man, 32, White, Protestant, Conservative
89. Mia Harris - Woman, 36, Black, Protestant, Moderate
90. Alexander Rodriguez - Man, 26, Latino, Catholic, Liberal
91. Emily Kim - Woman, 39, Asian, Buddhist, Liberal
92. Jacob Smith - Man, 49, White, Protestant, Conservative
93. Isabella Lee - Woman, 23, Asian, Buddhist, Liberal
94. Christopher Johnson - Man, 35, Black, Protestant, Moderate
95. Sophia Davis - Woman, 43, White, Unreligious, Independent
96. Matthew Thompson - Man, 28, Black, Protestant, Moderate
97. Ava Miller - Woman, 40, White, Catholic, Conservative
98. Alexander Hernandez - Man, 47, Latino, Catholic, Conservative
99. Mia Patel - Woman, 25, Asian, Hindu, Liberal
100. James Martin - Man, 42, White, Protestant, Moderate
