0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Emily Johnson - Woman, 28, Black, Catholic, Liberal
2. Muhammad Ali - Man, 45, Middle Eastern, Muslim, Independent
3. Sophia Rodriguez - Woman, 32, Latina, Catholic, Liberal
4. David Lee - Man, 40, Asian, Buddhist, Moderate
5. Jessica Martinez - Woman, 22, Latino, Catholic, Conservative
6. Ahmed Khan - Man, 30, Middle Eastern, Muslim, Liberal
7. Olivia Nguyen - Woman, 24, Asian, Unreligious, Independent
8. Michael Thompson - Man, 55, White, Protestant, Conservative
9. Mia Patel - Woman, 31, Asian, Hindu, Moderate
10. Ethan Wilson - Man, 18, White, Protestant, Liberal
11. Ava Kim - Woman, 43, Asian, Buddhist, Independent
12. James Brown - Man, 50, Black, Protestant, Conservative
13. Isabella Lopez - Woman, 29, Latino, Catholic, Liberal
14. Mohammad Khan - Man, 35, Middle Eastern, Muslim, Moderate
15. Sophia Chen - Woman, 27, Asian, Unreligious, Independent
16. Jacob Davis - Man, 65, White, Protestant, Conservative
17. Emma Thompson - Woman, 38, White, Unreligious, Liberal
18. Aiden Smith - Man, 21, Black, Protestant, Conservative
19. Mia Johnson - Woman, 30, Latina, Catholic, Moderate
20. Ahmed Rahman - Man, 40, Middle Eastern, Muslim, Liberal
21. Olivia Kim - Woman, 26, Asian, Buddhist, Independent
22. Daniel Martin - Man, 42, White, Protestant, Conservative
23. Sophia Rodriguez - Woman, 32, Latina, Catholic, Liberal
24. Ali Khan - Man, 33, Middle Eastern, Muslim, Moderate
25. Ava Lee - Woman, 23, Asian, Unreligious, Independent
26. Benjamin Wilson - Man, 48, White, Protestant, Conservative
27. Mia Patel - Woman, 31, Asian, Hindu, Moderate
28. Ethan Davis - Man, 19, White, Protestant, Liberal
29. Emily Thompson - Woman, 36, White, Protestant, Liberal
30. Aiden Brown - Man, 51, Black, Protestant, Conservative
31. Isabella Martinez - Woman, 27, Latino, Catholic, Liberal
32. Mohammad Ahmed - Man, 37, Middle Eastern, Muslim, Moderate
33. Mia Kim - Woman, 25, Asian, Buddhist, Independent
