0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Emma Johnson - Woman, 28, Black, Christian, Liberal
2. Liam Chen - Man, 40, Asian, Buddhist, Independent
3. Ava Rodriguez - Woman, 33, Latina, Catholic, Moderate
4. Noah Kim - Man, 45, Korean, Protestant, Conservative
5. Isabella Martinez - Woman, 22, Latino, Catholic, Liberal
6. Sophia Nguyen - Woman, 19, Vietnamese, Buddhist, Independent
7. Jackson Patel - Man, 29, Indian, Hindu, Moderate
8. Mia Davis - Woman, 31, Black, Christian, Liberal
9. Aiden Jones - Man, 20, White, Unreligious, Independent
10. Lucas Lee - Man, 26, Korean, Protestant, Conservative
11. Olivia Brown - Woman, 24, Black, Christian, Liberal
12. Caden Thompson - Man, 32, White, Catholic, Conservative
13. Riley Thomas - Nonbinary, 35, White, Unreligious, Moderate
14. Emily Harris - Woman, 18, White, Protestant, Liberal
15. Mason Davis - Man, 27, Black, Christian, Liberal
16. Scarlett Martinez - Woman, 29, Latina, Catholic, Moderate
17. Logan Johnson - Nonbinary, 21, Asian, Buddhist, Independent
18. Ava Hernandez - Woman, 37, Latina, Catholic, Liberal
19. Ethan Nguyen - Man, 42, Vietnamese, Buddhist, Moderate
20. Harper Lee - Woman, 25, Korean, Protestant, Liberal
21. Abigail Williams - Woman, 23, White, Jewish, Liberal
22. Aiden Rodriguez - Man, 34, Latino, Catholic, Conservative
23. Sophia Chen - Woman, 40, Asian, Buddhist, Independent
24. Carter Smith - Man, 30, White, Christian, Conservative
25. Mia Davis - Woman, 29, Black, Christian, Liberal
26. Jackson Thomas - Man, 31, White, Unreligious, Moderate
27. Isabella Johnson - Woman, 32, Latina, Catholic, Moderate
28. Lucas Kim - Man, 26, Korean, Protestant, Conservative
29. Emma Martinez - Woman, 27, Latino, Catholic, Liberal
30. Noah Nguyen - Man, 24, Vietnamese, Buddhist, Independent
31. Ava Patel - Woman, 35, Indian, Hindu, Moderate
32. Liam Davis - Man, 38, Black, Christian, Liberal
33. Sophia Rodriguez - Woman, 29, Latina, Catholic, Moderate
34. Jackson Thompson - Man, 40, White, Protestant, Conservative
35. Mia Lee - Woman, 33, Korean, Protestant, Liberal
36. Aiden Brown - Man, 22, White, Christian, Conservative
37. Olivia Smith - Woman, 26, Black, Christian, Liberal
38. Ethan Johnson - Man, 28, Asian, Buddhist, Independent
39. Emma Davis - Woman, 27, White, Unreligious, Moderate
40. Liam Hernandez - Man, 30, Latino, Catholic, Conservative
41. Isabella Nguyen - Woman, 24, Vietnamese, Buddhist, Independent
42. Noah Chen - Man, 33, Asian, Buddhist, Independent
43. Ava Thomas - Woman, 29, White, Protestant, Moderate
44. Sophia Williams - Woman, 35, Black, Christian, Liberal
45. Jackson Lee - Man, 45, Korean, Protestant, Conservative
46. Mia Rodriguez - Woman, 32, Latina, Catholic, Moderate
47. Oliver Davis - Man, 27, White, Christian, Conservative
48. Emma Johnson - Woman, 26, Black, Christian, Liberal
49. Liam Martinez - Man, 30, Latino, Catholic, Conservative
50. Ava Nguyen - Woman, 29, Vietnamese, Buddhist, Independent
51. Noah Smith - Man, 32, White, Unreligious, Moderate
52. Isabella Lee - Woman, 34, Korean, Protestant, Liberal
53. Mason Davis - Man, 40, Black, Christian, Liberal
54. Sophia Hernandez - Woman, 31, Latina, Catholic, Moderate
55. Logan Nguyen - Nonbinary, 25, Asian, Buddhist, Independent
56. Emma Williams - Woman, 29, White, Protestant, Moderate
57. Liam Johnson - Man, 27, Black, Christian, Liberal
58. Mia Chen - Woman, 33, Asian, Buddhist, Independent
59. Jackson Rodriguez - Man, 34, Latino, Catholic, Conservative
60. Olivia Davis - Woman, 28, White, Unreligious, Moderate
61. Aiden Lee - Man, 30, Korean, Protestant, Conservative
62. Ava Johnson - Woman, 24, Black, Christian, Liberal
63. Noah Martinez - Man, 26, Latino, Catholic, Conservative
64. Isabella Nguyen - Woman, 29, Vietnamese, Buddhist, Independent
65. Sophia Patel - Woman, 40, Indian, Hindu, Moderate
66. Jackson Thompson - Man, 42, White, Protestant, Conservative
67. Mia Lee - Woman, 35, Korean, Protestant, Liberal
68. Ethan Williams - Man, 31, White, Unreligious, Moderate
69. Olivia Johnson - Woman, 28, Black, Christian, Liberal
70. Liam Davis - Man, 27, Asian, Buddhist, Independent
71. Emma Hernandez - Woman, 30, Latina, Catholic, Liberal
72. Noah Nguyen - Man, 40, Vietnamese, Buddhist, Independent
73. Ava Smith - Woman, 33, White, Protestant, Moderate
74. Sophia Rodriguez - Woman, 27, Latina, Catholic, Moderate
75. Jackson Lee - Man, 26, Korean, Protestant, Conservative
76. Mia Davis - Woman, 29, Black, Christian, Liberal
77. Liam Martinez - Man, 32, Latino, Catholic, Conservative
78. Isabella Nguyen - Woman, 34, Vietnamese, Buddhist, Independent
79. Olivia Johnson - Woman, 31, White, Unreligious, Moderate
80. Emma Smith - Woman, 29, Black, Christian, Liberal
81. Jackson Lee - Man, 30, Asian, Buddhist, Independent
82. Ava Hernandez - Woman, 32, Latina, Catholic, Moderate
83. Noah Rodriguez - Man, 27, Latino, Catholic, Conservative
84. Sophia Davis - Woman, 35, White, Unreligious, Moderate
85. Liam Lee - Man, 26, Korean, Protestant, Conservative
86. Mia Williams - Woman, 28, Black, Christian, Liberal
87. Ethan Patel - Man, 32, Indian, Hindu, Conservative
88. Olivia Nguyen - Woman, 37, Vietnamese, Buddhist, Independent
89. Lucas Johnson - Man, 28, White, Unreligious, Moderate
90. Emma Brown - Woman, 30, Black, Christian, Liberal
91. Logan Chen - Nonbinary, 33, Asian, Buddhist, Independent
92. Ava Hernandez - Woman, 28, Latina, Catholic, Moderate
93. Noah Rodriguez - Man, 35, Latino, Catholic, Conservative
94. Isabella Lee - Woman, 29, Korean, Protestant, Liberal
95. Sophia Davis - Woman, 30, White, Unreligious, Moderate
96. Liam Williams - Man, 32, Black, Christian, Liberal
97. Mia Nguyen - Woman, 27, Vietnamese, Buddhist, Independent
98. Jackson Thomas - Man, 26, White, Protestant, Conservative
99. Emma Martinez - Woman, 31, Latina, Catholic, Liberal
100. Oliver Johnson - Man, 33, White, Christian, Conservative
