0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Emily Johnson - Woman, 28, White, Catholic, Liberal
2. Mohammed Ahmed - Man, 45, Middle Eastern, Muslim, Conservative
3. Mia Rodriguez - Woman, 32, Latina, Catholic, Liberal
4. David Lee - Man, 40, Asian, Buddhist, Independent
5. Ashley Thompson - Woman, 25, Black, Unreligious, Moderate
6. Christopher Martinez - Man, 33, Latino, Catholic, Conservative
7. Sarah Chen - Woman, 29, Asian, Protestant, Liberal
8. Michael Johnson - Man, 50, White, Protestant, Conservative
9. Olivia Davis - Woman, 27, Black, Unreligious, Moderate
10. Daniel Kim - Man, 31, Asian, Protestant, Liberal
11. Isabella Lopez - Woman, 24, Latina, Catholic, Liberal
12. Ahmed Hassan - Man, 55, Middle Eastern, Muslim, Conservative
13. Sophia Thompson - Woman, 36, White, Protestant, Moderate
14. William Rodriguez - Man, 30, Latino, Catholic, Conservative
15. Ava Smith - Woman, 26, Black, Unreligious, Moderate
16. Ethan Nguyen - Man, 41, Asian, Buddhist, Independent
17. Mia Johnson - Woman, 33, White, Protestant, Liberal
18. Jacob Davis - Man, 48, Black, Protestant, Conservative
19. Sophia Kim - Woman, 30, Asian, Buddhist, Liberal
20. Benjamin Martinez - Man, 29, Latino, Catholic, Conservative
21. Emma Lee - Woman, 37, White, Protestant, Moderate
22. Alexander Lopez - Man, 33, Latino, Catholic, Conservative
23. Chloe Thompson - Woman, 24, Black, Unreligious, Moderate
24. James Davis - Man, 42, White, Protestant, Conservative
25. Sophia Chen - Woman, 29, Asian, Protestant, Liberal
26. Joseph Johnson - Man, 55, Black, Protestant, Conservative
27. Olivia Nguyen - Woman, 26, Asian, Buddhist, Liberal
28. Daniel Lopez - Man, 34, Latino, Catholic, Conservative
29. Isabella Smith - Woman, 27, White, Protestant, Liberal
30. Samuel Davis - Man, 48, Black, Protestant, Conservative
31. Emma Kim - Woman, 31, Asian, Buddhist, Liberal
32. Matthew Thompson - Man, 29, White, Protestant, Moderate
33. Ethan Rodriguez - Man, 35, Latino, Catholic, Conservative
34. Madison Johnson - Woman, 25, White, Protestant, Liberal
35. Daniel Martinez - Man, 38, Latino, Catholic, Conservative
36. Ava Davis - Woman, 26, Black, Unreligious, Moderate
37. Andrew Nguyen - Man, 43, Asian, Buddhist, Independent
38. Sophia Williams - Woman, 34, White, Protestant, Liberal
39. Jacob Johnson - Man, 54, Black, Protestant, Conservative
40. Mia Kim - Woman, 28, Asian, Buddhist, Liberal
41. Joseph Smith - Man, 39, White, Protestant, Moderate
42. Emily Martinez - Woman, 32, Latino, Catholic, Liberal
43. Joshua Davis - Man, 47, Black, Protestant, Conservative
44. Emma Nguyen - Woman, 27, Asian, Buddhist, Liberal
45. Noah Thompson - Man, 31, White, Protestant, Moderate
46. Ava Lee - Woman, 30, Asian, Buddhist, Liberal
47. Ethan Williams - Man, 44, White, Protestant, Conservative
48. Mia Johnson - Woman, 26, White, Protestant, Liberal
49. David Rodriguez - Man, 32, Latino, Catholic, Conservative
50. Olivia Davis - Woman, 36, Black, Unreligious, Moderate
51. James Smith - Man, 51, White, Protestant, Conservative
52. Sophia Lopez - Woman, 33, Latina, Catholic, Liberal
53. Michael Johnson - Man, 55, Black, Protestant, Conservative
54. Chloe Nguyen - Woman, 29, Asian, Buddhist, Liberal
55. Benjamin Thompson - Man, 34, White, Protestant, Moderate
56. Emily Hernandez - Woman, 25, Latina, Catholic, Liberal
57. William Davis - Man, 49, White, Protestant, Conservative
58. Isabella Lee - Woman, 32, Asian, Buddhist, Liberal
59. Christopher Martinez - Man, 37, Latino, Catholic, Conservative
60. Mia Smith - Woman, 27, White, Protestant, Liberal
61. Daniel Rodriguez - Man, 33, Latino, Catholic, Conservative
62. Ava Thompson - Woman, 28, Black, Unreligious, Moderate
63. Alexander Lee - Man, 52, Asian, Buddhist, Independent
64. Emma Hernandez - Woman, 30, Latina, Catholic, Liberal
65. Michael Davis - Man, 58, White, Protestant, Conservative
66. Sophia Johnson - Woman, 34, White, Protestant, Liberal
67. Joseph Martinez - Man, 35, Latino, Catholic, Conservative
68. Emily Smith - Woman, 26, White, Protestant, Liberal
69. Christopher Davis - Man, 46, Black, Protestant, Conservative
70. Olivia Nguyen - Woman, 30, Asian, Buddhist, Liberal
71. David Thompson - Man, 36, White, Protestant, Moderate
72. Ava Lee - Woman, 27, Asian, Buddhist, Liberal
73. Ethan Williams - Man, 45, White, Protestant, Conservative
74. Mia Johnson - Woman, 28, White, Protestant, Liberal
75. Benjamin Rodriguez - Man, 39, Latino, Catholic, Conservative
76. Emily Davis - Woman, 31, White, Protestant, Liberal
77. Joshua Smith - Man, 50, White, Protestant, Conservative
78. Emma Lopez - Woman, 34, Latina, Catholic, Liberal
79. Michael Johnson - Man, 57, Black, Protestant, Conservative
80. Chloe Nguyen - Woman, 31, Asian, Buddhist, Liberal
81. William Thompson - Man, 35, White, Protestant, Moderate
82. Isabella Hernandez - Woman, 29, Latina, Catholic, Liberal
83. Joseph Davis - Man, 44, Black, Protestant, Conservative
84. Olivia Lee - Woman, 32, Asian, Buddhist, Liberal
85. James Smith - Man, 52, White, Protestant, Conservative
86. Emily Martinez - Woman, 33, Latina, Catholic, Liberal
87. Alexander Davis - Man, 45, Black, Protestant, Conservative
88. Ava Nguyen - Woman, 29, Asian, Buddhist, Liberal
89. Daniel Thompson - Man, 37, White, Protestant, Moderate
90. Mia Lee - Woman, 27, Asian, Buddhist, Liberal
91. Jacob Williams - Man, 48, White, Protestant, Conservative
92. Sophia Lopez - Woman, 35, Latina, Catholic, Liberal
93. Christopher Johnson - Man, 53, Black, Protestant, Conservative
94. Emily Nguyen - Woman, 28, Asian, Buddhist, Liberal
95. Samuel Thompson - Man, 39, White, Protestant, Moderate
96. Emma Hernandez - Woman, 34, Latina, Catholic, Liberal
97. Joseph Davis - Man, 49, Black, Protestant, Conservative
98. Chloe Nguyen - Woman, 29, Asian, Buddhist, Liberal
99. William Smith - Man, 54, White, Protestant, Conservative
100. Mia Johnson - Woman, 30, White, Protestant, Liberal
