0. Name - gender, age, race/ethnicity, religion, political affiliation
1. Emma Johnson - Woman, 28, White, Unreligious, Liberal
2. Mohammad Khan - Man, 45, Middle Eastern, Muslim, Conservative
3. Maria Rodriguez - Woman, 32, Latina, Catholic, Moderate
4. David Lee - Man, 41, Asian, Buddhist, Independent
5. Emily Wilson - Woman, 23, White, Unreligious, Liberal
6. Ahmed Patel - Man, 37, Middle Eastern, Muslim, Conservative
7. Jessica Thompson - Woman, 30, White, Protestant, Moderate
8. Juan Hernandez - Man, 55, Latino, Catholic, Conservative
9. Rachel Chen - Woman, 29, Asian, Buddhist, Liberal
10. Jamal Washington - Man, 33, Black, Protestant, Moderate
11. Samantha Davis - Woman, 26, White, Unreligious, Liberal
12. Carlos Martinez - Man, 42, Latino, Catholic, Conservative
13. Priya Desai - Woman, 40, Asian, Hindu, Liberal
14. Michael Johnson - Man, 39, White, Protestant, Moderate
15. Sofia Rodriguez - Woman, 31, Latina, Catholic, Conservative
16. James Williams - Man, 45, Black, Protestant, Conservative
17. Lily Chen - Woman, 27, Asian, Buddhist, Liberal
18. Emmanuel Thompson - Man, 32, Black, Protestant, Moderate
19. Olivia Wilson - Woman, 24, White, Unreligious, Liberal
20. Ahmed Hassan - Man, 60, Middle Eastern, Muslim, Conservative
21. Andrea Ramirez - Woman, 33, Latina, Catholic, Liberal
22. Daniel Kim - Man, 50, Asian, Buddhist, Independent
23. Isabella Hernandez - Woman, 29, Latina, Catholic, Conservative
24. Joseph Smith - Man, 35, White, Protestant, Moderate
25. Sophia Johnson - Woman, 28, White, Unreligious, Liberal
26. Aisha Khan - Woman, 39, Middle Eastern, Muslim, Conservative
27. Antonio Rodriguez - Man, 43, Latino, Catholic, Conservative
28. Emily Chen - Woman, 31, Asian, Buddhist, Liberal
29. Xavier Washington - Man, 34, Black, Protestant, Moderate
30. Ava Davis - Woman, 26, White, Unreligious, Liberal
31. Ali Patel - Man, 36, Middle Eastern, Muslim, Conservative
32. Gabriela Thompson - Woman, 29, Latina, Catholic, Moderate
