Name - gender, race/ethnicity, age, religion, political affiliation
Person 1 - Woman, White, 46, Protestant, Democrat
Person 2 - Man, Latino, 29, Catholic, Independent
Person 3 - Man, Latino, 66, Catholic, Republican
Person 4 - Man, Latino, 38, Catholic, Democrat
Person 5 - Woman, White, 65, Protestant, Republican
Person 6 - Woman, White, 42, Protestant, Republican
Person 7 - Woman, Latino, 36, Unreligious, Democrat
Person 8 - Woman, Asian, 41, Hindu, Independent
Person 9 - Woman, White, 39, Unreligious, Republican
Person 10 - Woman, Black, 26, Protestant, Democrat
Person 11 - Man, Black, 26, Protestant, Democrat
Person 12 - Woman, White, 56, Protestant, Democrat
Person 13 - Woman, Latino, 63, Catholic, Democrat
Person 14 - Woman, White, 30, Unreligious, Republican
Person 15 - Man, Black, 23, Unreligious, Democrat
Person 16 - Woman, White, 35, Protestant, Republican
Person 17 - Man, Native American/Alaska Native, 29, Unreligious, Independent
Person 18 - Woman, White, 75, Protestant, Republican
Person 19 - Woman, White, 64, Protestant, Democrat
Person 20 - Woman, White, 70, Unreligious, Democrat
Person 21 - Woman, White, 34, Unreligious, Republican
Person 22 - Man, White, 47, Protestant, Democrat
Person 23 - Woman, White, 55, Protestant, Democrat
Person 24 - Woman, White, 68, Protestant, Independent
Person 25 - Woman, White, 77, Protestant, Republican
Person 26 - Woman, White, 35, Protestant, Independent
Person 27 - Woman, White, 60, Unreligious, Republican
Person 28 - Man, White, 27, Protestant, Republican
Person 29 - Woman, Latino, 22, Catholic, Democrat
Person 30 - Man, White, 40, Protestant, Independent
Person 31 - Woman, Asian, 67, Unreligious, Independent
Person 32 - Man, Latino, 43, Catholic, Republican
Person 33 - Woman, Black, 60, Protestant, Democrat
Person 34 - Woman, Black, 76, Unreligious, Democrat
Person 35 - Man, Latino, 50, Catholic, Democrat
Person 36 - Man, White, 38, Protestant, Republican
Person 37 - Woman, Latino, 26, Catholic, Republican
Person 38 - Woman, Asian, 54, Hindu, Independent
Person 39 - Woman, White, 60, Unreligious, Democrat
Person 40 - Woman, White, 67, Catholic, Republican
Person 41 - Man, White, 63, Unreligious, Democrat
Person 42 - Man, Latino, 29, Catholic, Republican
Person 43 - Man, White, 18, Protestant, Republican
Person 44 - Woman, Latino, 50, Catholic, Democrat
Person 45 - Woman, White, 48, Protestant, Republican
Person 46 - Man, Black, 46, Unreligious, Democrat
Person 47 - Man, Black, 58, Unreligious, Democrat
Person 48 - Woman, Latino, 24, Catholic, Democrat
Person 49 - Woman, Latino, 64, Unreligious, Democrat
Person 50 - Man, Black, 73, Protestant, Democrat
